report_date,primal_desc,choice_600_900,select_600_900,week_of_year,year,indexby_year,start_of_week,end_of_week
2013-05-30,Rib,321.04,272.04,224,2013,104,2013-05-26,2013-05-31
2013-05-30,Plate,138.53,142.48,224,2013,104,2013-05-26,2013-05-31
2013-05-30,Trim,86.44,86.44,224,2013,104,2013-05-26,2013-05-31
2013-05-30,Loin,325.88,265.25,224,2013,104,2013-05-26,2013-05-31
2013-05-30,Brisket,133.38,131.65,224,2013,104,2013-05-26,2013-05-31
2013-05-31,Rib,318.59,268.24,225,2013,105,2013-05-26,2013-05-31
2013-05-31,Flank,114.39,112.83,225,2013,105,2013-05-26,2013-05-31
2013-05-31,Loin,324.87,265.27,225,2013,105,2013-05-26,2013-05-31
2013-05-31,Cutout,206.65,187.2,225,2013,105,2013-05-26,2013-05-31
2013-05-31,Brisket,133.75,132.37,225,2013,105,2013-05-26,2013-05-31
2013-05-31,Plate,138.65,142.58,225,2013,105,2013-05-26,2013-05-31
2013-05-31,Trim,86.97,86.97,225,2013,105,2013-05-26,2013-05-31
2013-05-31,Round,157.64,156.51,225,2013,105,2013-05-26,2013-05-31
2013-05-31,Chuck,155.59,152.1,225,2013,105,2013-05-26,2013-05-31
2013-06-03,Loin,321.68,259.23,231,2013,106,2013-06-02,2013-06-07
2013-06-03,Cutout,206.17,185.44,231,2013,106,2013-06-02,2013-06-07
2013-06-03,Round,157.17,156.22,231,2013,106,2013-06-02,2013-06-07
2013-06-03,Chuck,153.9,150.36,231,2013,106,2013-06-02,2013-06-07
2013-06-03,Plate,140.44,144.25,231,2013,106,2013-06-02,2013-06-07
2013-06-03,Trim,89.08,89.08,231,2013,106,2013-06-02,2013-06-07
2013-06-03,Rib,324.76,267.93,231,2013,106,2013-06-02,2013-06-07
2013-06-03,Brisket,133.76,132.46,231,2013,106,2013-06-02,2013-06-07
2013-06-03,Flank,113.64,113.04,231,2013,106,2013-06-02,2013-06-07
2013-06-04,Plate,139.91,143.68,232,2013,107,2013-06-02,2013-06-07
2013-06-04,Loin,320.18,255.16,232,2013,107,2013-06-02,2013-06-07
2013-06-04,Brisket,133.29,130.12,232,2013,107,2013-06-02,2013-06-07
2013-06-04,Flank,113.9,111.76,232,2013,107,2013-06-02,2013-06-07
2013-06-04,Round,155.88,155.24,232,2013,107,2013-06-02,2013-06-07
2013-06-04,Chuck,152.53,150.65,232,2013,107,2013-06-02,2013-06-07
2013-06-04,Cutout,205.29,184.09,232,2013,107,2013-06-02,2013-06-07
2013-06-04,Rib,326.38,266.54,232,2013,107,2013-06-02,2013-06-07
2013-06-04,Trim,88.16,88.16,232,2013,107,2013-06-02,2013-06-07
2013-06-05,Plate,139.52,143.32,233,2013,108,2013-06-02,2013-06-07
2013-06-05,Chuck,152.85,151.11,233,2013,108,2013-06-02,2013-06-07
